id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
1aGS6nf2xgv3Xzdob4eOO3,Smokin' Sticky Sticky,Beat'n Down Yo Block,5ZO72kl3xMRRzlpod55k1Q,['Unk'],['0PGtMx1bsqoCHCy3MB3gXA'],15,1,True,0.623,0.736,11,-3.657,0,0.402,0.0021,0.0,0.0691,0.422,87.988,380427,4.0,2006,2006-10-03
0fJfoqHIIiET2EcgjOfntG,Holding Back the Years,Holding Back The Years,7sV4kCqQYt8agM5TjkdOYU,['Norm Douglas'],['4kxKyoiYhldUlnfeCZtD0D'],1,1,False,0.585,0.639,2,-9.641,0,0.0333,0.316,0.775,0.0993,0.88,170.082,266520,4.0,2008,2008-06-13
0V2R2LC8dR7S0REieXRaGt,All Along The Watchtower - Live - 1991,"Back On The Bus, Y'All",3jmmx4jRkul3POEhn1cgwF,['Indigo Girls'],['4wM29TDTr3HI0qFY3KoSFG'],7,1,False,0.331,0.466,9,-14.287,0,0.0379,0.7090000000000001,0.0,0.939,0.43,90.648,383773,4.0,1991,1991-06-04
4VUHYLocWOJ2GfvP78AmSs,Windmills,Total Folklore,5PyLkzuxmT6EoVNZCg8Iya,['Dan Friel'],['4HKTPJw50BFASrfhJEHIVP'],2,1,False,0.193,0.856,4,-2.97,1,0.109,4.88e-05,0.838,0.285,0.594,113.345,82493,4.0,2013,2013-02-19
4m8a1AtmCnoeRzSYoQ0oX0,Overnite Flite,Normal Human Feelings,623VIdYR6Y0NCN9yPbMAC6,['Little Suns'],['5OLcAqMbHpecNOIQyTduQ7'],2,1,False,0.546,0.373,3,-13.929,1,0.0323,0.4270000000000001,0.000105,0.1969999999999999,0.424,127.941,230667,1.0,2013,2013-10-08
6FevrWQQ4oMBf0RLekSiAs,All Because of Me,This Beautiful Town,3ZPLRIDdvo9wDeyT3GL1dZ,['The Western Investor'],['4AXAVfzQM68VZaB0IqraB9'],2,1,False,0.275,0.794,7,-4.36,1,0.0535,0.0418,0.000294,0.384,0.3670000000000001,191.508,179107,4.0,2006,2006-01-01
5yZ9KrknuuslZVcXXJJzUH,Tit for Tat: Tit for Tat,"Britten: Songs, Vol. 1",47SZgnrnNLKcevKk2V8PxE,"['Benjamin Britten', 'Malcom Martineau', 'Philip Smith']","['7MJ1pB5d6Vjmzep2zQlorn', '4x87gqupX1U1n8LdmC56hg', '4vtKSsObqlCiS5rjuG3tU0']",5,2,False,0.4970000000000001,0.0809,5,-19.828,1,0.075,0.986,0.0,0.0722,0.191,108.905,118547,4.0,2011,2011-06-06
50teNwgGXSmqVAk3mfEBW4,Women of Ireland,Celtic Twilight 2,7Eh0z5RuV4mWkqcybLS6vx,['Deiseal'],['3p4kov2Q7AZeJ9rjKLV6jb'],5,1,False,0.208,0.209,0,-13.505999999999998,0,0.0422,0.972,0.8079999999999999,0.127,0.142,71.249,303267,4.0,1995,1995-08-11
0rSPHTJaU9GLNBGFDEs3mN,Wastrel,Spirits And August Lights / Steal The Light,2RrQlhap1qTbwimCBC7D9t,['Omnium Gatherum'],['52xuvlUvnxqH0xzxGPKXSu'],7,1,False,0.452,0.977,6,-3.3560000000000003,0,0.0642,4.37e-06,0.4589999999999999,0.2789999999999999,0.4679999999999999,99.925,281827,4.0,2004,2004-10-25
2gu2FJfkzrHDSistA7O3bt,Archy & Mehitabel,Parlovr,3Dfpgw4VBEru2S5AuB1yTt,['Parlovr'],['47i31rRONicZxnAe9MxQvn'],8,1,False,0.35,0.984,7,-4.631,1,0.0645,0.0127,0.055,0.111,0.436,137.774,207520,4.0,2008,2008
76n3S31Qv6VFlsbwrZc3fV,Mental Warfare,Breakthrough,47bV8m736qq9qqGNIplzRk,['Rob Vicious'],['2gGtD7OGXbNZAY3oCZvZqA'],6,1,True,0.659,0.762,8,-7.432,0,0.181,0.0274,0.00154,0.0994,0.799,178.14,130785,4.0,2020,2020-05-01
61YRU6f29zObMJs2gEFM4B,Piss Angel,Prowler In the Yard,2MEnHfqxdJi56B3LE4CFuv,['Pig Destroyer'],['4raqfuxaWjPjrOQGb6zoa7'],22,1,True,0.216,0.44,11,-8.766,1,0.055,0.188,0.0324,0.0785,0.0713,97.465,477800,4.0,2001,2001-07-24
3OCnt3GM4MoJCw1Pz12crT,Callaghan's Hornpipe / Byrne's Hornpipe,The Chieftains 2,2DuUMmhqGU9psM7GnDT2eW,['The Chieftains'],['6AnrSlk5Gp1YMXgaI3mWCL'],8,1,False,0.524,0.215,2,-15.771,1,0.0472,0.981,0.23,0.198,0.968,86.462,193254,4.0,1969,1969
0ps2fVIFvHX4z0HUzvjlOG,Answer My Question,A State Of Grace,3KcHijV8gRMMQvLYREDTfQ,['Joani Taylor'],['1xAAyAtnQKlWCaUu35pbZn'],8,1,False,0.441,0.119,5,-15.578,1,0.0363,0.894,1.76e-05,0.0906,0.126,100.77,336707,4.0,2003,2003-01-01
2xQlYWOTPoe2b45NGYDRAW,If It Be Your Will,The Essential Leonard Cohen,2t2sAWQl1NwwHy793LyEfR,['Leonard Cohen'],['5l8VQNuIg0turYE1VtM9zV'],14,1,False,0.4589999999999999,0.258,4,-14.21,1,0.0289,0.774,0.0002549999999999,0.1369999999999999,0.115,139.325,221800,3.0,2002,2002-10-22
2NCjtvFnFLkxecNjTpQYbJ,Shatterproof,Shatterproof,551qDoUzE6QUxulgYXBfrj,['Julianna Zobrist'],['2uSaBYbfQ8nw2dB0ZXyIR8'],1,1,False,0.728,0.6920000000000001,11,-5.104,1,0.0698,0.0226,0.00082,0.109,0.657,128.003,234493,4.0,2016,2016-07-01
5n64i7WTAiJupsbrMmuX3W,Психопат-лунатик,Karmageddon,5ForRoVEwhqUlu6jcbgdaa,['kizaru'],['5NipqMGsY4AUeb7kGT8aVz'],10,1,True,0.883,0.628,0,-8.158999999999999,1,0.0888,0.126,0.0,0.0725,0.662,147.98,176723,4.0,2019,2019-08-15
33WqQdVrxTcJyZpWjjsycC,Whispers in the Dark,Schizo,0UlxwvFrrJyETsj22khVLj,['Colossal Trailer Music'],['5rVfB0qJZvp4BPaHmb3lHA'],8,1,False,0.186,0.319,5,-16.795,0,0.123,0.622,0.923,0.287,0.0392,114.496,105975,3.0,2015,2015-12-31
0II3BuDv6f3FVAc4IxVDkq,Ich hab mein Herz verloren,Ein Herz aus Schokolade,3FaB3LrDWKbeKizPMnP9WA,['Die Flippers'],['043PrBIjao3PCKicMRvbgf'],10,1,False,0.588,0.767,9,-7.791,1,0.0285,0.247,6.14e-05,0.386,0.918,121.023,195973,4.0,1997,1997-09-05
1KUmTehYjtZJdVTbx2R5Zs,Northern Light,Reflections,2wIjOAcgC2nFK6z0aTEEf6,['Cornerstone'],['0T2pagV88xmpZ37KkgKF4u'],6,1,False,0.573,0.792,4,-5.822,0,0.0289999999999999,0.000828,0.369,0.252,0.308,128.111,221613,4.0,2016,2016-09-09
5Re6HhVFV2NE9kBnkN9xPC,"A fabol faragott kiralyfi (The Wooden Prince), Op. 13, BB 74: Second Dance: Dance of the Trees",Bartok: The Wooden Prince & Hungarian Pictures,6bC20Iay4RExjEIRxidmR2,"['Béla Bartók', 'Philharmonia Orchestra', 'Neeme Järvi']","['5zyNXVd952fWOjkdGHCvPd', '09KZU0NsS7jRa5p0SflmGY', '5UHZvYJA0aPcJSLYkYAeps']",3,1,False,0.209,0.327,5,-15.152,1,0.0516,0.923,0.84,0.108,0.039,113.347,314533,3.0,2013,2013
1fhtmZWZACHtTvemVgS6XN,Othello B,Dust to Dust,5MRzCGGTmA0GtuB5tuYIqF,"['Lawrence D. ""Butch"" Morris']",['5kbuxrHhmSVM7ddT93ep9Q'],1,1,False,0.296,0.213,2,-20.102,0,0.0395,0.7929999999999999,0.853,0.0951,0.0987,117.507,485160,4.0,1991,1991-01-01
25ZwVylu4SwZLlp0t5rYid,24 Hours,The Other Side of Town,0242MiXt7Q5ix78UfS3X7r,['Asskickers'],['1oxSEr2TjkXLniuHJdXj0H'],11,1,False,0.472,0.294,0,-14.056,1,0.0276,0.44,0.357,0.0697,0.317,134.517,177227,4.0,2001,2001-01-01
4daonSYp51bLadniTjXL3j,La bagarre,Godzilla 3000,1xBK75Gf9SX0inaF6A321S,['Les Vulves Assassines'],['2reQIRqdgLJgCP3BAlbmw4'],6,1,False,0.745,0.4970000000000001,11,-6.6370000000000005,0,0.0304,0.046,0.534,0.364,0.148,110.061,46670,4.0,2019,2019-10-25
